Model,PromptType,Acc,CR,LiMem,Confidence, Avg_ms
gpt-oss:120b,zero-shot,1.0,0.01,0.99,0.939338546551405,384146.97350002825
llama4:latest,zero-shot,0.38,0.5526315789473685,0.16999999999999998,0.992203677985596,107491.87100003473
gpt-oss:120b,few-shot,1.0,0.0,1.0,0.9425066882362786,419167.22369997296
llama4:latest,few-shot,0.37,0.4864864864864865,0.18999999999999997,0.9956680221897384,108612.93539998587
gpt-oss:120b,chain-of-thought,1.0,0.0,1.0,0.9419805621989152,328487.5865000067
llama4:latest,chain-of-thought,0.0,0.0,0.0,0.9949671083090121,125198.50269996095
gpt-oss:120b,self-consistency,1.0,0.0,1.0,0.9483121558134858,372980.0495999516
llama4:latest,self-consistency,0.34,0.5294117647058824,0.16,0.9915239503883259,107609.42459997023
gpt-oss:120b,tree-of-thought,0.98,0.0,0.98,0.9398120008975309,380080.3711999906
llama4:latest,tree-of-thought,0.36,0.6111111111111112,0.13999999999999999,0.9941044688264893,106756.8745999597
gpt-oss:120b,persona,1.0,0.01,0.99,0.9382150772004412,424018.7188999844
llama4:latest,persona,0.38,0.5,0.19,0.9955585730532176,106637.53589999396
gpt-oss:120b,self-ask,1.0,0.0,1.0,0.9425409284740677,357727.8922999976
llama4:latest,self-ask,0.3,0.5333333333333333,0.13999999999999999,0.9927864541203387,109211.36379998643
